Date;BORON;INLET_TEMP;SEA_WATER_COND;RCK_I_L_PR;RCK_DP;HP_PMP_SUC_FLW;RCK_FRNT_PERM_FLW;RCK_REAR_PERM_FLW;RCK_FRNT_PERM_COND;RCK_REAR_PERM_COND;ERD_PMP_SUC_FLW;RCK_2P_I_L_PR;RCK_2P_I_L_PH;RCK_2P_I_L_TEMP;RCK_2P_1STG_FLW;RCK_2P_2STG_FLW;RCK_2P_O_L_COND;RCK_1P_REAR_PERM_PR
2019-05-08 11:59:00;0,477;28,17;63740;63,2;1,307;595,7;30,3;539,3;310;1233;740,9;11,36;10,05;28,5;399;66;45;1,32
2019-05-09 08:58:00;0,659;29,07;61729;63,9;1,283;590,6;30,2;535,9;294;1263;740,5;11,11;10;29,4;398,1;64,4;45;1,32
2019-05-09 12:00:00;0,617;29,04;60861;63,6;1,282;591,5;30,1;537,7;293;1255;740,6;11,08;10,02;29,3;405,3;65,2;47;1,3
2019-05-11 08:43:00;0,646;28,81;63953;63,3;1,324;594,3;30,2;539;296;1220;742,3;11,17;9,96;29,1;404,2;66;43;1,29
2019-05-11 12:00:00;0,695;29,57;64829;63,9;1,338;591,3;29,7;535,3;305;1294;740,7;10,99;9,99;29,9;408,4;63,5;49;1,3
2019-05-13 09:00:00;2,080;28,78;64567;62,4;1,293;579,5;117,4;434,6;342;1637;740,2;9,59;4,44;29,2;305,2;35,4;116;1,4
2019-05-13 11:59:00;0,671;28,66;64622;63,4;1,29;596,5;60,4;511;274;1368;741,3;10,69;10;29;384,3;59,5;49;1,31
2019-05-14 09:00:00;0,690;28,9;64356;63,4;1,304;596,5;30;536;273;1268;740,5;11,16;10;29,2;396,5;64,6;45;1,3
2019-05-15 09:00:00;1,770;28,84;64392;62,5;1,304;595,7;29,9;541,6;1038;2225;741,1;11,01;3,51;29,1;403,1;59;267;1,3
2019-05-16 09:00:00;0,555;29,66;64309;63,2;1,256;589,6;50,1;513,5;283;1397;740,6;10,75;10,21;29,9;385,6;59;62;1,3
2019-05-16 12:00:00;0,511;29,59;64335;63,1;1,264;590,4;50,3;513,6;279;1373;740,7;10,77;10,21;29,9;388,1;59,3;60;1,3
